,Company,# Laid Off,% Laid Off,Date Added,Ticker,$ Change 5D,% Change 5D,$ Change 1Y,% Change 1Y
73,Twilio,800.0,11%,9/14/2022,TWLO,-1.96,-2.51,-13.35,-17.12
74,Xero,800.0,15%,3/8/2023,XRX,-1.2,-8.78,1.21,8.93
75,Viasat,800.0,10%,11/2/2023,VSAT,-1.31,-6.92,-9.43,-49.82
76,Arrival,800.0,50%,1/30/2023,ARVLF,-0.06,-0.28,-19.05,-97.69
77,GoHealth,800.0,20%,8/11/2022,GOCO,-0.27,-2.84,9.61,101.05
78,Peloton,784.0,13%,8/12/2022,PTON,-0.59,-4.36,-5.97,-44.12
79,Electronic Arts,780.0,6%,3/29/2023,EA,2.13,1.81,14.06,11.96
80,Cazoo,750.0,15%,6/7/2022,CZOOF,-520.0,-20.16,-2440.0,-94.57
81,Cazoo,750.0,15%,9/8/2022,CZOOF,-62.2,-4.49,-1281.2,-92.56
82,Wayfair,730.0,3%,1/11/2025,W,-0.79,-1.79,32.11,72.81
83,Intuit,715.0,7%,6/22/2020,ISRG,-13.04,-6.64,104.33,53.14
84,Robinhood,713.0,23%,8/2/2022,HOOD,1.45,15.71,3.21,34.78
85,Salesforce,700.0,1%,1/26/2024,CRM,1.14,0.41,55.22,19.93
86,Lyft,700.0,13%,11/3/2022,LYFT,-2.82,-20.55,-3.06,-22.3
87,Amdocs,700.0,3%,7/6/2023,DOX,-0.04,-0.04,-16.19,-17.52
88,Zebra Technologies,700.0,7%,8/28/2023,ZBRA,6.03,2.23,76.12,28.2
89,NetApp,700.0,6%,5/3/2025,NTAP,2.1,2.29,27.37,29.92
90,DocuSign,680.0,10%,2/16/2023,DOCU,-7.04,-10.56,-16.43,-24.65
91,DocuSign,671.0,9%,9/28/2022,DOCU,-2.38,-4.3,-13.3,-24.05
92,Electronic Arts,670.0,5%,2/28/2024,EA,-1.26,-0.91,-8.86,-6.37
93,Freshworks,660.0,13%,11/7/2024,FRSH,-0.32,-1.9,-5.57,-33.12
94,F5,623.0,9%,4/20/2023,FFIV,-3.87,-2.88,43.17,32.18
95,Playtika,600.0,15%,12/10/2022,PLTK,0.05,0.7,-0.25,-3.25
96,Uber,600.0,23%,5/26/2020,UBER,1.26,3.65,16.56,47.92
97,Unity,600.0,8%,5/3/2023,U,3.36,13.45,-0.83,-3.32
98,Spotify,600.0,6%,1/23/2023,SPOT,2.3,2.3,106.77,106.83
99,Take-Two,579.0,5%,4/16/2024,TTWO,-5.49,-3.77,65.95,45.34
100,Opendoor,560.0,22%,4/18/2023,OPEN,-0.28,-16.57,0.47,27.81
101,Opendoor,550.0,18%,11/2/2022,OPEN,-0.55,-24.24,-0.09,-3.93
102,Toast,550.0,10%,2/15/2024,TOST,2.58,13.44,21.29,110.89
103,Informatica,545.0,10%,11/1/2023,INFA,3.61,18.84,8.14,42.48
104,GoDaddy,530.0,8%,2/8/2023,GDDY,-0.93,-1.13,30.44,37.05
105,Dropbox,527.0,20%,10/30/2024,DBX,0.06,0.23,2.49,9.51
106,Workday,525.0,3%,1/31/2023,WDAY,2.3,1.27,109.64,60.43
107,eBay,500.0,4%,2/7/2023,EBAY,-1.17,-2.47,-6.48,-13.63
108,Affirm,500.0,19%,2/8/2023,AFRM,-3.32,-20.72,33.2,207.24
109,SolarEdge,500.0,12%,1/7/2025,SEDG,-3.13,-17.79,18.87,107.28
110,Atlassian,500.0,5%,3/6/2023,TEAM,-20.37,-11.56,20.18,11.46
111,CrowdStrike,500.0,5%,5/7/2025,CRWD,6.92,1.64,86.09,20.38
112,HubSpot,500.0,7%,1/31/2023,HUBS,12.92,3.72,263.99,76.08
113,Enphase Energy,500.0,17%,11/11/2024,ENPH,-4.14,-6.5,-28.84,-45.3
114,Blackbaud,500.0,14%,2/15/2023,BLKB,-1.89,-3.15,12.32,20.55
115,Illumina,500.0,5%,11/16/2022,ILMN,-7.17,-3.18,-132.87,-58.93
116,Peloton,500.0,12%,10/6/2022,PTON,-0.05,-0.57,-3.72,-42.13
117,Groupon,500.0,15%,8/8/2022,GRPN,-1.16,-8.36,-5.62,-40.52
118,Dropbox,500.0,16%,4/27/2023,DBX,-0.13,-0.64,3.99,19.79
119,Sprinklr,500.0,15%,2/8/2025,CXM,0.5,5.76,-1.16,-13.36
120,Snap,500.0,10%,2/5/2024,SNAP,-5.64,-33.67,-5.15,-30.75
121,Eventbrite,500.0,45%,4/8/2020,EB,1.51,20.52,15.73,213.72
122,SiriusXM,475.0,8%,3/6/2023,SIRI,-5.78,-14.65,-0.33,-0.83
123,Rapid7,470.0,18%,8/8/2023,RPD,10.75,27.02,-3.49,-8.77
